date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:27:10	101917/101917	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20May%202024%2023:27:10%20GMT	https://preview.iwedding.info/?template=62ef3cdcf106ea77bb276cc5	E:/PROJECT/AuroraBirdthDay/preview.iwedding.info/indexb73b.html	(from )
06:27:10	61/61	---MCZ	200	added ('OK')	text/plain	etag:W/%2263c75cfe-2f%22	https://preview.iwedding.info/robots.txt		(from )
06:27:11	103292/103292	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20May%202024%2023:27:11%20GMT	https://preview.iwedding.info/	E:/PROJECT/AuroraBirdthDay/preview.iwedding.info/index.html	(from https://preview.iwedding.info/?template=62ef3cdcf106ea77bb276cc5)
06:27:11	102992/102992	---M--	200	added ('OK')	image/jpeg	etag:%22d87f645a7b53cb09246c24e31e3086b5%22	https://cdn.biihappy.com/ziiweb/website/61990349db8f76231c132068/88b6d6c5cb36ccd3725c92f0e0b3d89b.jpeg	E:/PROJECT/AuroraBirdthDay/cdn.biihappy.com/ziiweb/website/61990349db8f76231c132068/88b6d6c5cb36ccd3725c92f0e0b3d89b.jpg	(from https://preview.iwedding.info/?template=62ef3cdcf106ea77bb276cc5)
06:27:11	327978/327978	---MCZ	200	added ('OK')	text/css	etag:W/%2265d336e0-5012a%22	https://preview.iwedding.info/templates/template17/css/libs.css?v=20240418	E:/PROJECT/AuroraBirdthDay/preview.iwedding.info/templates/template17/css/libs3201.css	(from https://preview.iwedding.info/?template=62ef3cdcf106ea77bb276cc5)
06:27:11	38004/38004	---MCZ	200	added ('OK')	text/css	etag:W/%2263c75cfe-9474%22	https://preview.iwedding.info/common/calendar.css?v=20240418	E:/PROJECT/AuroraBirdthDay/preview.iwedding.info/common/calendar3201.css	(from https://preview.iwedding.info/?template=62ef3cdcf106ea77bb276cc5)
06:27:11	494254/494254	---MCZ	200	added ('OK')	text/css	etag:W/%22662139db-78aae%22	https://preview.iwedding.info/templates/template17/css/style.css?v=20240418	E:/PROJECT/AuroraBirdthDay/preview.iwedding.info/templates/template17/css/style3201.css	(from https://preview.iwedding.info/?template=62ef3cdcf106ea77bb276cc5)
06:27:12	2402/2402	---M--	200	added ('OK')	image/png	etag:%2263c75cff-962%22	https://preview.iwedding.info/templates/template17/images/favicon.png	E:/PROJECT/AuroraBirdthDay/preview.iwedding.info/templates/template17/images/favicon.png	(from https://preview.iwedding.info/?template=62ef3cdcf106ea77bb276cc5)
06:27:12	227802/227802	---M--	200	added ('OK')	image/jpeg	etag:%226d95d2cda2d676466902948900b4789e%22	https://cdn.biihappy.com/ziiweb/default/template/62ef3cdcf106ea77bb276cc5/9cc23c7deb01f71bc652a8599c55630b.jpg	E:/PROJECT/AuroraBirdthDay/cdn.biihappy.com/ziiweb/default/template/62ef3cdcf106ea77bb276cc5/9cc23c7deb01f71bc652a8599c55630b.jpg	(from https://preview.iwedding.info/?template=62ef3cdcf106ea77bb276cc5)
06:27:12	4306/4306	---M--	200	added ('OK')	image/png	etag:%2263c75cff-10d2%22	https://preview.iwedding.info/templates/template17/images/slider/shape3.png	E:/PROJECT/AuroraBirdthDay/preview.iwedding.info/templates/template17/images/slider/shape3.png	(from https://preview.iwedding.info/?template=62ef3cdcf106ea77bb276cc5)
06:27:12	4276/4276	---M--	200	added ('OK')	image/png	etag:%2263c75cff-10b4%22	https://preview.iwedding.info/templates/template17/images/slider/shape4.png	E:/PROJECT/AuroraBirdthDay/preview.iwedding.info/templates/template17/images/slider/shape4.png	(from https://preview.iwedding.info/?template=62ef3cdcf106ea77bb276cc5)
06:27:12	282070/282070	---M--	200	added ('OK')	image/jpeg	etag:%227b13e1c2118fc4c6d51243bd0f2a8ab5%22	https://cdn.biihappy.com/ziiweb/default/template/62ef3cdcf106ea77bb276cc5/6bf9779158d43707a8d1d400c2da1e3d.jpg	E:/PROJECT/AuroraBirdthDay/cdn.biihappy.com/ziiweb/default/template/62ef3cdcf106ea77bb276cc5/6bf9779158d43707a8d1d400c2da1e3d.jpg	(from https://preview.iwedding.info/?template=62ef3cdcf106ea77bb276cc5)
06:27:13	233390/233390	---M--	200	added ('OK')	image/jpeg	etag:%22e6616143a6a2cfbbc6e78bcf445d6005%22	https://cdn.biihappy.com/ziiweb/default/template/62ef3cdcf106ea77bb276cc5/fb06bb8fc52cde617248ea27585517cb.jpg	E:/PROJECT/AuroraBirdthDay/cdn.biihappy.com/ziiweb/default/template/62ef3cdcf106ea77bb276cc5/fb06bb8fc52cde617248ea27585517cb.jpg	(from https://preview.iwedding.info/?template=62ef3cdcf106ea77bb276cc5)
06:27:13	84907/84907	---M--	200	added ('OK')	image/jpeg	etag:%226347bb868cbf9d28c0e6bc1dd714b191%22	https://cdn.biihappy.com/ziiweb/default/website/3b48bc6125ce6d186297a3e90a11085e.jpeg	E:/PROJECT/AuroraBirdthDay/cdn.biihappy.com/ziiweb/default/website/3b48bc6125ce6d186297a3e90a11085e.jpg	(from https://preview.iwedding.info/?template=62ef3cdcf106ea77bb276cc5)
06:27:13	280082/280082	---M--	200	added ('OK')	image/jpeg	etag:%2290fc7e31437db21ad2cc88f8d004cb9b%22	https://cdn.biihappy.com/ziiweb/default/template/62ef3cdcf106ea77bb276cc5/2766e60ccc5fca7a4c53b906494ce8e1.jpg	E:/PROJECT/AuroraBirdthDay/cdn.biihappy.com/ziiweb/default/template/62ef3cdcf106ea77bb276cc5/2766e60ccc5fca7a4c53b906494ce8e1.jpg	(from https://preview.iwedding.info/?template=62ef3cdcf106ea77bb276cc5)
06:27:13	20997/20997	---M--	200	added ('OK')	image/png	etag:%2263c75cff-5205%22	https://preview.iwedding.info/templates/template17/images/couple/shape.png	E:/PROJECT/AuroraBirdthDay/preview.iwedding.info/templates/template17/images/couple/shape.png	(from https://preview.iwedding.info/?template=62ef3cdcf106ea77bb276cc5)
06:27:14	109103/109103	---M--	200	added ('OK')	image/jpeg	etag:%2213b85a324608dbd252b5471437352cc5%22	https://cdn.biihappy.com/ziiweb/default/website/59b631f29bfb9f7cd20437d27ddbe4db.jpeg	E:/PROJECT/AuroraBirdthDay/cdn.biihappy.com/ziiweb/default/website/59b631f29bfb9f7cd20437d27ddbe4db.jpg	(from https://preview.iwedding.info/?template=62ef3cdcf106ea77bb276cc5)
06:27:14	1537/1537	---M--	200	added ('OK')	image/png	etag:%2235afe67cd370412c1e01e50a4f6e8141%22	https://cdn.biihappy.com/ziiweb/images/static/common/wishes.png	E:/PROJECT/AuroraBirdthDay/cdn.biihappy.com/ziiweb/images/static/common/wishes.png	(from https://preview.iwedding.info/?template=62ef3cdcf106ea77bb276cc5)
06:27:14	35182/35182	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20May%202024%2023:27:15%20GMT	https://preview.iwedding.info/rsvp	E:/PROJECT/AuroraBirdthDay/preview.iwedding.info/rsvp.html	(from https://preview.iwedding.info/?template=62ef3cdcf106ea77bb276cc5)
06:27:15	688/688	---M--	200	added ('OK')	image/png	etag:%225e9e41d17c67e3118bb118aa0f23dbeb%22	https://cdn.biihappy.com/ziiweb/images/static/common/rsvp4.png	E:/PROJECT/AuroraBirdthDay/cdn.biihappy.com/ziiweb/images/static/common/rsvp4.png	(from https://preview.iwedding.info/?template=62ef3cdcf106ea77bb276cc5)
06:27:15	2287/2287	---M--	200	added ('OK')	image/png	etag:%22ec45b2844213de5d438de1420df8d2af%22	https://cdn.biihappy.com/ziiweb/images/static/common/money_bag.png	E:/PROJECT/AuroraBirdthDay/cdn.biihappy.com/ziiweb/images/static/common/money_bag.png	(from https://preview.iwedding.info/?template=62ef3cdcf106ea77bb276cc5)
06:27:15	161502/161502	---M--	200	added ('OK')	image/jpeg	etag:%22eddf28d9e91c5279218f86b7192f921f%22	https://cdn.biihappy.com/ziiweb/default/template/62ef3cdcf106ea77bb276cc5/52b2cd61e1dbd0e9e4fdca88781ffb14.jpg	E:/PROJECT/AuroraBirdthDay/cdn.biihappy.com/ziiweb/default/template/62ef3cdcf106ea77bb276cc5/52b2cd61e1dbd0e9e4fdca88781ffb14.jpg	(from https://preview.iwedding.info/?template=62ef3cdcf106ea77bb276cc5)
06:27:15	4425/4425	---M--	200	added ('OK')	image/png	etag:%2263c75cff-1149%22	https://preview.iwedding.info/templates/template17/images/section-title2.png	E:/PROJECT/AuroraBirdthDay/preview.iwedding.info/templates/template17/images/section-title2.png	(from https://preview.iwedding.info/?template=62ef3cdcf106ea77bb276cc5)
06:27:16	36256/36256	---M--	200	added ('OK')	image/jpeg	etag:%22f78ab82e7ade1e0f0c2e6201d81d9021%22	https://cdn.biihappy.com/ziiweb/website/61990349db8f76231c132068/0f99c255f7aa7714d366ebde51c86d53.jpeg	E:/PROJECT/AuroraBirdthDay/cdn.biihappy.com/ziiweb/website/61990349db8f76231c132068/0f99c255f7aa7714d366ebde51c86d53.jpg	(from https://preview.iwedding.info/?template=62ef3cdcf106ea77bb276cc5)
06:27:16	10865/10865	---M--	200	added ('OK')	image/png	etag:%2263c75cff-2a71%22	https://preview.iwedding.info/templates/template17/images/story/shape.png	E:/PROJECT/AuroraBirdthDay/preview.iwedding.info/templates/template17/images/story/shape.png	(from https://preview.iwedding.info/?template=62ef3cdcf106ea77bb276cc5)
06:27:16	40035/40035	---M--	200	added ('OK')	image/jpeg	etag:%22eec2d66a2fc18c7beb879659872de38c%22	https://cdn.biihappy.com/ziiweb/website/61990349db8f76231c132068/be48dcf2522cd4ecfa7dab2dd4ebd3f9.jpeg	E:/PROJECT/AuroraBirdthDay/cdn.biihappy.com/ziiweb/website/61990349db8f76231c132068/be48dcf2522cd4ecfa7dab2dd4ebd3f9.jpg	(from https://preview.iwedding.info/?template=62ef3cdcf106ea77bb276cc5)
06:27:16	22104/22104	---M--	200	added ('OK')	image/jpeg	etag:%22b16d1448978aa7f015c99ab8d892db19%22	https://cdn.biihappy.com/ziiweb/website/61990349db8f76231c132068/d2d08234dd0ece24828f396fa243a1ec.jpeg	E:/PROJECT/AuroraBirdthDay/cdn.biihappy.com/ziiweb/website/61990349db8f76231c132068/d2d08234dd0ece24828f396fa243a1ec.jpg	(from https://preview.iwedding.info/?template=62ef3cdcf106ea77bb276cc5)
06:27:16	40158/40158	---M--	200	added ('OK')	image/jpeg	etag:%2215d2294c56f664c6df018171a909324d%22	https://cdn.biihappy.com/ziiweb/website/61990349db8f76231c132068/d37c077f9ad6b076bc531b2d6ba44498.jpeg	E:/PROJECT/AuroraBirdthDay/cdn.biihappy.com/ziiweb/website/61990349db8f76231c132068/d37c077f9ad6b076bc531b2d6ba44498.jpg	(from https://preview.iwedding.info/?template=62ef3cdcf106ea77bb276cc5)
06:27:17	227802/227802	---M--	200	added ('OK')	image/jpeg	etag:%226d95d2cda2d676466902948900b4789e%22	https://cdn.biihappy.com/ziiweb/default/template/62ef3cdcf106ea77bb276cc5/244aba61c9bcb376bf986bf0b0b65571.jpg	E:/PROJECT/AuroraBirdthDay/cdn.biihappy.com/ziiweb/default/template/62ef3cdcf106ea77bb276cc5/244aba61c9bcb376bf986bf0b0b65571.jpg	(from https://preview.iwedding.info/?template=62ef3cdcf106ea77bb276cc5)
06:27:17	64540/64540	---M--	200	added ('OK')	image/jpeg	etag:%225c56640cc89c8de6f1da6b4cbf332cb3%22	https://cdn.biihappy.com/ziiweb/default/website/galleries/61990296d7e97a1853119579/small.jpg	E:/PROJECT/AuroraBirdthDay/cdn.biihappy.com/ziiweb/default/website/galleries/61990296d7e97a1853119579/small.jpg	(from https://preview.iwedding.info/?template=62ef3cdcf106ea77bb276cc5)
06:27:17	36713/36713	---M--	200	added ('OK')	image/jpeg	etag:%22ce8ebf53dc044716073784d6f59f7edd%22	https://cdn.biihappy.com/ziiweb/default/website/galleries/619902a5f7c65c763d2ef0e2/small.jpg	E:/PROJECT/AuroraBirdthDay/cdn.biihappy.com/ziiweb/default/website/galleries/619902a5f7c65c763d2ef0e2/small.jpg	(from https://preview.iwedding.info/?template=62ef3cdcf106ea77bb276cc5)
06:27:17	38029/38029	---M--	200	added ('OK')	image/jpeg	etag:%226e386a1dcae2cdc773ab5d01dc2de925%22	https://cdn.biihappy.com/ziiweb/default/website/galleries/619902a0d5c0e352ac024b43/small.jpg	E:/PROJECT/AuroraBirdthDay/cdn.biihappy.com/ziiweb/default/website/galleries/619902a0d5c0e352ac024b43/small.jpg	(from https://preview.iwedding.info/?template=62ef3cdcf106ea77bb276cc5)
06:27:18	57710/57710	---M--	200	added ('OK')	image/jpeg	etag:%229fe412dc9ce111ac4f4b2e2cd389145f%22	https://cdn.biihappy.com/ziiweb/default/website/galleries/61990322c41d7b37de534633/small.jpg	E:/PROJECT/AuroraBirdthDay/cdn.biihappy.com/ziiweb/default/website/galleries/61990322c41d7b37de534633/small.jpg	(from https://preview.iwedding.info/?template=62ef3cdcf106ea77bb276cc5)
